Headline,Date,Source
"""Once Volume Increases, Green Hydrogen Will Cost Come Down"": Oil India Chairperson - NDTV","Tue, 06 Feb 2024 12:51:44 GMT",Google News
Envision Energy Partners with BASF to Boost Green Hydrogen Development for Renewable Energy Transition - SolarQuarter,"Tue, 06 Feb 2024 12:25:00 GMT",Google News
"Green hydrogen: Proposals for projects worth ₹2.70 trillion received, says energy minister - Hindustan Times","Sun, 04 Feb 2024 02:32:04 GMT",Google News
5 ways to make green hydrogen available around the world | World Economic Forum - World Economic Forum,"Mon, 05 Feb 2024 17:30:45 GMT",Google News
IIPE in Visakhapatnam launches a pilot project to produce green hydrogen using NTPC’s desalinated water - The Hindu,"Sun, 04 Feb 2024 19:15:00 GMT",Google News
MNRE Launches Pilot Projects to Implement Green Hydrogen in Steel Industry - Mercom India,"Mon, 05 Feb 2024 10:00:10 GMT",Google News
MNRE releases guidelines for pilot projects on use of green hydrogen in shipping sector - Press Trust of India,"Mon, 05 Feb 2024 14:09:42 GMT",Google News
The Hydrogen Stream: Reliance Industries to convert existing 5000 ICE trucks to run on green hydrogen by mid-2024 - pv magazine India,"Mon, 05 Feb 2024 05:52:59 GMT",Google News
Disinvestment-bound SCI to spearhead govt’s Green Hydrogen scheme in shipping - PSU Watch,"Sat, 03 Feb 2024 09:42:33 GMT",Google News
Green Hydrogen Revolution in Indian Steel: National Mission Unleashes Promising Pilot Initiatives - SolarQuarter,"Sat, 03 Feb 2024 05:29:53 GMT",Google News
Maire Secures FEED Contract for Green Hydrogen and Ammonia Plant Integration in Portugal - ChemAnalyst,"Tue, 06 Feb 2024 12:02:43 GMT",Google News
India's first green hydrogen fuel cell bus showcased during India Energy Week - Moneycontrol,"Tue, 06 Feb 2024 14:50:04 GMT",Google News
"SunHydrogen, COTEC step up production of innovative green hydrogen panels - ETN News","Tue, 06 Feb 2024 09:34:58 GMT",Google News
Daily News Wrap-Up: MNRE to Implement Green Hydrogen in Steel Industry - Mercom India,"Tue, 06 Feb 2024 04:36:29 GMT",Google News
Govt allocates Rs 455 crore for green hydrogen pilot projects in steel sector - ETEnergyWorld,"Mon, 05 Feb 2024 11:23:34 GMT",Google News
Govt issues pilot project guidelines for Green Hydrogen in Steel Sector - Construction World,"Tue, 06 Feb 2024 11:08:41 GMT",Google News
Maire awarded FEED contract for integrated green hydrogen and ammonia plant in Portugal - ChemEngOnline,"Mon, 05 Feb 2024 22:13:34 GMT",Google News
"Budget 2024: Rooftop solar, green hydrogen push — experts discuss initiatives to charge up renewable energy sector | Mint - Mint","Fri, 02 Feb 2024 12:50:00 GMT",Google News
JSW Neo Energy secures LoA for hydrogen production facility - Manufacturing Today India,"Tue, 06 Feb 2024 06:02:38 GMT",Google News
Abu Dhabi Partners with HYCAP for Green Hydrogen Facility Development - ChemAnalyst,"Tue, 06 Feb 2024 10:43:19 GMT",Google News
"India Energy Week: Modi says nation set to become green hydrogen production, export hub - Moneycontrol","Tue, 06 Feb 2024 08:02:20 GMT",Google News
Government Allocates Rs 1.15 Bn for Green Hydrogen Pilot - Construction World,"Tue, 06 Feb 2024 11:00:09 GMT",Google News
Govt allocates Rs 115 crore for green hydrogen pilot in shipping sector: MNRE - ETEnergyWorld,"Fri, 02 Feb 2024 17:35:36 GMT",Google News
Kraft Heinz Announces Plans for Maiden Green Hydrogen Facility to Fuel UK Operations - ChemAnalyst,"Tue, 06 Feb 2024 06:48:06 GMT",Google News
"MC Explainer: New guidelines, challenges for using green hydrogen in steel industry - Moneycontrol","Mon, 05 Feb 2024 14:04:49 GMT",Google News
Steel and port ministries lay out guidelines for hydrogen usage - Manufacturing Today India,"Tue, 06 Feb 2024 06:24:29 GMT",Google News
"Rs 11,500 crore outlay: Budget 2024 adds spark to wind & solar energy, green hydrogen projects - Business Today","Thu, 01 Feb 2024 13:17:21 GMT",Google News
Govt shares guidelines for Green Hydrogen Pilot Projects in steel sector - Moneycontrol,"Sun, 04 Feb 2024 10:13:01 GMT",Google News
MNRE issues guidelines for pilot projects implementing Green Hydrogen in steel sector - CNBCTV18,"Fri, 02 Feb 2024 17:51:25 GMT",Google News
AMPO and GRZ Technologies form hydrogen storage partnership - Energy Global,"Tue, 06 Feb 2024 09:02:53 GMT",Google News
Budget 2024: Green hydrogen’s allocation rises by whopping 102 per cent - ETEnergyWorld,"Fri, 02 Feb 2024 01:30:00 GMT",Google News
NGEL Partners with Maharashtra Government for Green Hydrogen Project Development - SolarQuarter,"Mon, 05 Feb 2024 08:09:57 GMT",Google News
India plans green hydrogen pilot projects in shipping and steel - H2 View,"Mon, 05 Feb 2024 11:53:26 GMT",Google News
Govt launches pilot project on use of green hydrogen in shipping - Moneycontrol,"Fri, 02 Feb 2024 15:34:56 GMT",Google News
‘Gujarat can lead world in green hydrogen’ - Times of India,"Fri, 02 Feb 2024 03:01:00 GMT",Google News
India rolls out program to support green hydrogen ship retrofits - Offshore Energy,"Mon, 05 Feb 2024 13:59:55 GMT",Google News
India's Plans to Achieve Cost-Effective Green Hydrogen Production - India Briefing,"Fri, 26 Jan 2024 08:00:00 GMT",Google News
Kraft Heinz partners with Carlton Power to deliver renewable green hydrogen project - Food & Drink International - Food & Drink International,"Tue, 06 Feb 2024 14:34:03 GMT",Google News
"Mangaluru: Green hydrogen, coal bleaching are best choice for clean energy - Minister K J George - Daijiworld.com","Mon, 05 Feb 2024 14:14:14 GMT",Google News
India Launches Pilot Projects for Green Hydrogen in Maritime Sector under National Mission - SolarQuarter,"Fri, 02 Feb 2024 10:00:49 GMT",Google News
MNRE releases guidelines on use of green hydrogen in shipping sector - Business Standard,"Fri, 02 Feb 2024 16:51:47 GMT",Google News
Steel and Port Ministries issue guidelines to incentivise hydrogen usage - BusinessLine,"Fri, 02 Feb 2024 16:50:05 GMT",Google News
Centre offers Rs 115 crore support for retrofitting ships to run on Green Hydrogen - The Economic Times,"Fri, 02 Feb 2024 15:07:18 GMT",Google News
Yieh Corp Steel News - Yieh Corp Steel News,"Tue, 06 Feb 2024 08:14:03 GMT",Google News
"THDC Unveils Trailblazing Green Hydrogen Pilot Project in Uttarakhand, Pioneering Sustainable Energy Solutions - SolarQuarter","Fri, 02 Feb 2024 11:06:23 GMT",Google News
Jordan's Energy Minister Inks MoU For Green Hydrogen Project Feasibility Studies - SolarQuarter,"Fri, 02 Feb 2024 08:51:34 GMT",Google News
Blue will be bp's hydrogen focus this decade – energy major posts $13.8bn 2023 profits - H2 View,"Tue, 06 Feb 2024 11:02:09 GMT",Google News
Lhyfe Commences Construction on 10-MW Green Hydrogen Facility in Germany - ChemAnalyst,"Fri, 02 Feb 2024 09:58:11 GMT",Google News
Green Hydrogen Breakthrough Could Bring Heavy Industry Into The Zero-Carbon Era - OilPrice.com,"Tue, 06 Feb 2024 00:00:00 GMT",Google News
Support for Ports and Portability to Green Hydrogen - ETAuto,"Sat, 03 Feb 2024 03:38:07 GMT",Google News
"Maharashtra Spearheads Green Energy Revolution with ₹2,76300 Crore Investment and 63900 Jobs in Green ... - SolarQuarter","Fri, 02 Feb 2024 12:49:24 GMT",Google News
How is the Adoption of Fuel Cell Technology Shaping the Future of Green Hydrogen in India's Renewable Energy Sector - CXOToday.com,"Mon, 05 Feb 2024 12:31:58 GMT",Google News
Oracle Power upbeat on study into proposed Pakistan hydrogen project - ShareCast,"Tue, 06 Feb 2024 12:45:28 GMT",Google News
Hygenco to invest $2.5 bn over 3 years to set up Green Hydrogen projects in India - ETEnergyWorld,"Wed, 31 Jan 2024 12:22:06 GMT",Google News
"Lhyfe to Start Construction of 10 MW Green Hydrogen Plant in Brake, Germany - Europe - Energetica India","Sat, 03 Feb 2024 06:51:49 GMT",Google News
"AMPO, GRZ Technologies partner to supply hydrogen storage solutions - H2 View","Tue, 06 Feb 2024 11:49:54 GMT",Google News
Govt greenlights pilot projects for Green Hydrogen in shipping sector - Construction World,"Mon, 05 Feb 2024 10:44:04 GMT",Google News
Abu Dhabi Department Of Economic Development And HYCAP Group Partner To Drive Green Hydrogen Innovation - SolarQuarter,"Mon, 05 Feb 2024 11:25:48 GMT",Google News
"NTPC Green Energy to invest ₹80,000 cr for Maharashtra projects | Mint - Mint","Tue, 30 Jan 2024 12:43:07 GMT",Google News
Kraft Heinz to Develop Green Hydrogen Project in the UK - Environment+Energy Leader,"Tue, 06 Feb 2024 14:30:51 GMT",Google News
34 Companies Bid for Green Hydrogen Subsidies in India - India Briefing,"Thu, 21 Dec 2023 08:00:00 GMT",Google News
Busting hydrogen myths: Cost | Hydrogen - gasworld,"Tue, 06 Feb 2024 09:00:02 GMT",Google News
"Maharashtra signs MoUs worth over Rs 2,763 billion for green hydrogen projects - Power Line Magazine - Power Line Magazine","Fri, 02 Feb 2024 10:45:01 GMT",Google News
Govt to provide 50% financial aid to pilot projects using Green Hydrogen in steel sector - PSU Watch,"Fri, 02 Feb 2024 16:10:57 GMT",Google News
Egypt launches 55% tax credit to boost green hydrogen production - ETN News,"Fri, 02 Feb 2024 11:07:29 GMT",Google News
India Launches Green Hydrogen Pilot Projects in Shipping Sector - Asia Pacific - Energetica India,"Sat, 03 Feb 2024 08:32:09 GMT",Google News
"NTPC Green Energy inks MoU with Maharashtra Govt for green hydrogen projects Worth ₹80,000 crore - ETEnergyWorld","Tue, 30 Jan 2024 08:10:07 GMT",Google News
Government issues Guidelines for Pilot Projects for utilizing Green Hydrogen in Shipping Sector - Nagaland Tribune,"Sat, 03 Feb 2024 06:33:12 GMT",Google News
"ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala - ETEnergyWorld","Mon, 29 Jan 2024 08:00:00 GMT",Google News
Maharashtra govt signs MOUs with 7 companies for green hydrogen production - Business Standard,"Tue, 30 Jan 2024 02:03:38 GMT",Google News
Green hydrogen in shipping | India outlines funding to retrofit existing vessels and install ammonia fuelling at ports - Hydrogen Insight,"Mon, 05 Feb 2024 08:37:00 GMT",Google News
"Budget boost for clean energy: Solar allocation soars to ₹8,500 cr; green hydrogen funding doubles - ETEnergyWorld","Fri, 02 Feb 2024 02:48:43 GMT",Google News
Linde Commences Delivery of Green Hydrogen and Captured Carbon Dioxide to Celanese - ChemAnalyst,"Thu, 01 Feb 2024 11:43:24 GMT",Google News
Government of India Unveils Guidelines for Green Hydrogen Pilot Projects in Steel Sector - Asia Pacific - Energetica India,"Sat, 03 Feb 2024 07:47:00 GMT",Google News
Lhyfe begins construction of 10 MW green hydrogen plant in Lower Saxony - ETN News,"Fri, 02 Feb 2024 02:57:05 GMT",Google News
"Reliance Industries to convert its 5,000 ICE trucks to green hydrogen-powered H2ICE trucks by mid-2024 - Autocar Professional","Fri, 02 Feb 2024 08:00:00 GMT",Google News
"Jakson Green, NTPC Commence Work on World's Largest Green Hydrogen Fueling Station - Asia Pacific - Energetica India","Sat, 03 Feb 2024 06:31:46 GMT",Google News
"SAF, Green Hydrogen, CCUS likely to be in spotlight at IEW 2024: EIL CMD - PSU Watch","Sat, 03 Feb 2024 16:54:39 GMT",Google News
Germany and EU Invest Over €1 Billion to Propel Global Green Hydrogen Economy - SolarQuarter,"Fri, 02 Feb 2024 11:53:17 GMT",Google News
Lhyfe and SAF+ Unite in Venture to Spearhead Hydrogen-Derived Fuel Advancements - ChemAnalyst,"Mon, 05 Feb 2024 11:37:56 GMT",Google News
State signs MoUs for green hydrogen projects and steel plant - Hindustan Times,"Tue, 30 Jan 2024 02:38:04 GMT",Google News
"NTPC arm, Maharashtra govt ink pact to develop green hydrogen projects - Business Standard","Tue, 30 Jan 2024 08:14:54 GMT",Google News
Electrolyzer Technologies That Can Drive Green Hydrogen Success - EE Times Europe,"Thu, 01 Feb 2024 13:08:18 GMT",Google News
Green Hydrogen – Shipping and Steel Sectors - INSIGHTSIAS - Insights IAS,"Mon, 05 Feb 2024 08:47:52 GMT",Google News
Govt unveils guidelines for supporting pilot projects using Green Hydrogen in shipping sector - PSU Watch,"Fri, 02 Feb 2024 17:10:12 GMT",Google News
"Rooftop solar, green hydrogen, offshore wind, green energy corridor may find mention in FM's Budget speech - Moneycontrol","Wed, 31 Jan 2024 19:31:44 GMT",Google News
H2V to Integrate Vallourec’s Hydrogen Storage System into Green Hydrogen Projects - Europe - Energetica India,"Fri, 02 Feb 2024 12:20:55 GMT",Google News
Govt issues guidelines for pilot projects on utilizing green hydrogen in shipping sector - ANI News,"Fri, 02 Feb 2024 17:07:00 GMT",Google News
The Hydrogen Stream: India's Maharashtra signs MoUs for green hydrogen projects worth over $33.2 billion - pv magazine India,"Tue, 30 Jan 2024 05:56:22 GMT",Google News
NGEL Inks MoU with Maharashtra for Green Hydrogen Projects - SMEStreet,"Wed, 31 Jan 2024 11:03:46 GMT",Google News
MNRE launches scheme to incentivise production of green hydrogen - Down To Earth Magazine,"Fri, 19 Jan 2024 08:00:00 GMT",Google News
THDC Reveals Innovative Green Hydrogen Pilot Project - Machine Maker,"Thu, 01 Feb 2024 07:11:59 GMT",Google News
Chart: Which countries are leading the green hydrogen race? - Canary Media,"Fri, 02 Feb 2024 08:30:00 GMT",Google News
NTPC plans renewables-heavy hydrogen project in Maharashtra - Renewables Now,"Mon, 05 Feb 2024 06:03:00 GMT",Google News
Kraft Heinz to build its first green hydrogen plant to power UK ops - Renewables Now,"Mon, 05 Feb 2024 12:32:00 GMT",Google News
Reducing costs - The key to leveraging green hydrogen on the road to net zero - Hydrogen Central,"Mon, 05 Feb 2024 21:43:04 GMT",Google News
Green hydrogen: the last mile in the net zero journey - World Economic Forum,"Tue, 16 Jan 2024 08:00:00 GMT",Google News
Lhyfe Starts Building a New Green Hydrogen Production Plant in Germany - DirectIndustry e-Magazine,"Fri, 02 Feb 2024 08:00:00 GMT",Google News
First Hydrogen's green hydrogen vehicle trials commence - FleetPoint,"Tue, 06 Feb 2024 10:18:20 GMT",Google News
"Gujarat-The Green Hydrogen Destination of India seminar, 3rd day VGGS - CMO Gujarat","Fri, 26 Jan 2024 00:07:40 GMT",Google News
